Date,AAPL_Close,AAPL_High,AAPL_Low,AAPL_Open,AAPL_Volume,AMZN_Close,AMZN_High,AMZN_Low,AMZN_Open,AMZN_Volume,NFLX_Close,NFLX_High,NFLX_Low,NFLX_Open,NFLX_Volume
2024-06-17,214.62411499023438,216.88258512602053,210.71141546378874,211.35527186274084,93728300,184.05999755859375,185.0,181.22000122070312,182.52000427246094,35601900,67.58300018310547,68.27100372314453,66.51100158691406,66.91100311279297,36312000
2024-06-18,212.26658630371094,216.5656178731208,210.98877362098574,215.5354294813442,79943300,182.80999755859375,184.2899932861328,181.42999267578125,183.74000549316406,36659200,68.56700134277344,68.70600128173828,67.46399688720703,67.56300354003906,29438000
2024-06-20,207.7001190185547,212.2170745602359,206.87796947703916,211.90998899500866,86172500,186.10000610351562,186.50999450683594,182.72000122070312,182.91000366210938,44726800,67.90299987792969,68.98799896240234,67.37200164794922,68.18000030517578,25851000
2024-06-21,205.5308074951172,209.88925500861833,205.1543907600995,208.40341856791886,241805100,189.0800018310547,189.27999877929688,185.86000061035156,187.8000030517578,70792500,68.61199951171875,68.69000244140625,67.80999755859375,68.32599639892578,45064000
2024-06-24,206.17465209960938,210.69159220230495,204.63928484253907,205.75861973380415,80727000,185.57000732421875,191.0,185.3300018310547,189.3300018310547,50610400,66.9020004272461,68.55000305175781,66.44999694824219,68.5,39163000
2024-06-25,207.0959014892578,209.3840873125504,206.64023830581658,207.1751328027417,55549700,186.33999633789062,188.83999633789062,185.4199981689453,186.80999755859375,45366400,67.24099731445312,67.36699676513672,66.2300033569336,67.34400177001953,22706000
2024-06-26,211.23641967773438,212.83121810497767,208.6510635966682,209.5029437835443,66213200,193.61000061035156,194.8000030517578,186.25999450683594,186.9199981689453,65103900,67.76899719238281,68.2959976196289,67.00199890136719,67.24099731445312,35458000
2024-06-27,212.07839965820312,213.70291360533915,210.34492376459474,212.66282504623206,49772700,197.85000610351562,199.83999633789062,194.1999969482422,195.00999450683594,74397500,68.43399810791016,68.85700225830078,67.81400299072266,67.93499755859375,24048000
2024-06-28,208.63124084472656,214.0297919592074,208.31427026634478,213.7326216506115,82542700,193.25,198.85000610351562,192.5,197.72999572753906,76930200,67.48799896240234,68.69999694824219,67.30799865722656,67.9000015258789,34124000
2024-07-01,214.70335388183594,215.45617219578955,209.91895899194967,210.08735196554287,60402900,197.1999969482422,198.3000030517578,192.82000732421875,193.49000549316406,41192000,67.36100006103516,67.50199890136719,66.37799835205078,67.48899841308594,22128000
